Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,D-cruise,Toyota Systems Corporation,AS7687 TOYOTA DIGITAL CRUISE.INCORPORATED
California,United States,94***,37.9,-122.3,America/Los_Angeles,BARRA,BARRA,
Guangxi,China,,23.7,108.8,Asia/Shanghai,Chinanet,Chinanet GX,AS4134 CHINANET-BACKBONE
Illinois,United States,60***,41.9,-87.6,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
,,,,,,,,
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,"Wayport, LLC","Wayport, Inc.",AS14654 AT&T Corp.
Missouri,United States,65***,38.6,-92.3,America/Chicago,University of Missouri - dba the Missouri Research and Education Network,Lincoln University,AS2572 University of Missouri - dba the Missouri Research and Education Network (MOREnet)
Oregon,United States,97***,45.5,-122.7,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc."
Mexico City,Mexico,11**,19.4,-99.2,America/Mexico_City,UNINET,Gestión de direccionamiento UniNet,AS8151 UNINET
,,,,,,,,
Victoria,Australia,30**,-37.8,145.0,Australia/Melbourne,Uniware Managed Services Pty Ltd,Uniware Managed Services Pty Ltd,AS45601 Uniware Managed Services Pty Ltd
Tennessee,United States,37***,35.0,-85.3,America/New_York,Peace Communications LLC,Peace Communications LLC,AS6203 Peace Communications LLC
Guangdong,China,,23.4,113.8,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE
Beijing,China,,39.9,116.4,Asia/Shanghai,CNC Group CncNet,,
North Chungcheong,South Korea,28***,36.8,127.7,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
