City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Jinrongjie,Beijing,China,,40.0,116.0,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Eschborn,Hesse,Germany,65760,50.0,9.0,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Takasago,Saitama,Japan,330-9301,36.0,140.0,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,New York,United States,10123,41.0,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,São Paulo,Brazil,01000-000,-24.0,-47.0,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Montpellier,Occitanie,France,34070,44.0,4.0,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Ostbevern,North Rhine-Westphalia,Germany,48346,52.0,8.0,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
Raleigh,North Carolina,United States,27668,36.0,-79.0,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Moscow,Russia,125310,56.0,38.0,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
Palo Alto,California,United States,94304,37.0,-122.0,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,,
Seattle,Washington,United States,98168,47.0,-122.0,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Greenwood Village,Colorado,United States,80111,40.0,-105.0,America/Denver,Spectrum,Charter Communications Inc,
Frankfurt am Main,Hesse,Germany,60313,50.0,9.0,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Jeddah,Mecca Region,Saudi Arabia,,21.0,39.0,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Paris,Île-de-France,France,75015,49.0,2.0,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Windhoek,Khomas Region,Namibia,,-23.0,17.0,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,,
Raleigh,North Carolina,United States,27668,36.0,-79.0,America/New_York,United States Postal Service.,United States Postal Service,
Melbourne,Victoria,Australia,3058,-38.0,145.0,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Overland Park,Kansas,United States,66251,39.0,-95.0,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Chiyoda,Tokyo,Japan,100-8111,36.0,140.0,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Seattle,Washington,United States,98108,48.0,-122.0,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Tokyo,Japan,151-0071,36.0,140.0,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,Brazil,,-23.0,-43.0,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Haidian,Beijing,China,,40.0,116.0,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ashburn,Virginia,United States,20147,39.0,-77.0,America/New_York,Verizon Business,Verizon Business,
La Crosse,Wisconsin,United States,54601,44.0,-91.0,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,,
Helsinki,Uusimaa,Finland,240,60.0,25.0,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Stuttgart,Baden-Wurttemberg,Germany,70327,49.0,9.0,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Dearborn,Michigan,United States,48121,42.0,-83.0,America/Detroit,Ford Motor Company,Ford Motor Company,
Durham,North Carolina,United States,27709,36.0,-79.0,America/New_York,IBM,IBM,
São Paulo,São Paulo,Brazil,1000,-24.0,-47.0,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
Charlotte,North Carolina,United States,28223,35.0,-81.0,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Haidian,Beijing,China,,40.0,116.0,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,São Paulo,Brazil,01000-000,-24.0,-47.0,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Frankfurt am Main,Hesse,Germany,60313,50.0,9.0,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,,
,,,,,,,,,
Hamburg,Free and Hanseatic City of Hamburg,Germany,20038,54.0,10.0,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Des Moines,Iowa,United States,50309,42.0,-94.0,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,,
Fuengirola,Andalusia,Spain,29640,37.0,-5.0,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Klaten,Central Java,Indonesia,,-8.0,111.0,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Seongnam-si,Gyeonggi-do,South Korea,13606,37.0,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Dublin,Ohio,United States,43017,40.0,-83.0,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
Sydney,New South Wales,Australia,1001,-34.0,151.0,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Montgomery,Alabama,United States,36114,32.0,-86.0,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
Mitcham,England,United Kingdom,CR4,51.0,-0.0,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Hamburg,Free and Hanseatic City of Hamburg,Germany,22085,54.0,10.0,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
London,England,United Kingdom,W1B,52.0,-0.0,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Lemont,Illinois,United States,60439,42.0,-88.0,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Seattle,Washington,United States,98194,48.0,-122.0,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Wallington,New Jersey,United States,7057,41.0,-74.0,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,New York,United States,10123,41.0,-74.0,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
